event_type,scan_code,name,time
up,32,d,1770221329.411247
down,57,space,1770221329.4500642
up,57,space,1770221329.517392
down,32,d,1770221329.5408406
down,24,o,1770221329.6466312
up,32,d,1770221329.649995
up,24,o,1770221329.726997
down,17,w,1770221329.7809892
down,49,n,1770221329.8678095
up,17,w,1770221329.8763182
up,49,n,1770221329.9339507
down,57,space,1770221330.079537
up,57,space,1770221330.1401343
down,25,p,1770221330.531299
up,25,p,1770221330.6143594
down,18,e,1770221330.6178842
up,18,e,1770221330.7170224
down,24,o,1770221330.7565198
up,24,o,1770221330.9213884
down,25,p,1770221330.9483235
up,25,p,1770221331.1322536
down,38,l,1770221331.1322536
up,38,l,1770221331.2027528
down,18,e,1770221331.227045
up,18,e,1770221331.3482428
down,57,space,1770221331.3789558
up,57,space,1770221331.448367
down,24,o,1770221331.5287168
up,24,o,1770221331.609695
down,47,v,1770221331.7036102
up,47,v,1770221331.8326633
down,18,e,1770221331.9599755
up,18,e,1770221332.0745556
down,19,r,1770221332.1786942
up,19,r,1770221332.2857716
down,57,space,1770221332.3686812
up,57,space,1770221332.453514
down,17,w,1770221332.5380642
down,23,i,1770221332.6497388
up,17,w,1770221332.6497388
up,23,i,1770221332.712076
down,20,t,1770221332.7994187
down,35,h,1770221332.8366563
up,20,t,1770221332.8843317
up,35,h,1770221332.903151
down,24,o,1770221333.0378013
up,24,o,1770221333.1046934
down,22,u,1770221333.2131379
up,22,u,1770221333.2836714
down,20,t,1770221333.3392017
up,20,t,1770221333.4545143
down,57,space,1770221333.4885685
up,57,space,1770221333.5538719
down,50,m,1770221333.6853578
